userId	geneSymbol	geneName	entrezgene	score	gLink
A2M	A2M	alpha-2-macroglobulin	2	0.0104349008433651	https://www.ncbi.nlm.nih.gov/gene/?term=2
AAAS	AAAS	aladin WD repeat nucleoporin	8086	0.0848169823896446	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	0.201087548122137	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AACSP1	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522	0.128420192695309	https://www.ncbi.nlm.nih.gov/gene/?term=729522
AADAT	AADAT	aminoadipate aminotransferase	51166	0.0872764842116012	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAGAB	AAGAB	alpha and gamma adaptin binding protein	79719	0.0301104146474783	https://www.ncbi.nlm.nih.gov/gene/?term=79719
AAK1	AAK1	AP2 associated kinase 1	22848	0.0809870205852467	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	-0.00632039941381331	https://www.ncbi.nlm.nih.gov/gene/?term=14
AAR2	AAR2	AAR2 splicing factor homolog	25980	-0.0121601568814707	https://www.ncbi.nlm.nih.gov/gene/?term=25980
AARD	AARD	alanine and arginine rich domain containing protein	441376	-0.238353932083445	https://www.ncbi.nlm.nih.gov/gene/?term=441376
AARS	AARS	alanyl-tRNA synthetase	16	-0.0963472296027562	https://www.ncbi.nlm.nih.gov/gene/?term=16
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	0.0162753956470065	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AARSD1	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	0.0969397126351295	https://www.ncbi.nlm.nih.gov/gene/?term=80755
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	-0.0628556690880638	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	-0.0855523477472881	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	0.174267942458991	https://www.ncbi.nlm.nih.gov/gene/?term=26574
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	-0.178251121976163	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA11P	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	-0.0951146017829756	https://www.ncbi.nlm.nih.gov/gene/?term=79963
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	0.0236120427792882	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	0.34684100452199	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	0.154462206208934	https://www.ncbi.nlm.nih.gov/gene/?term=23461
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	0.0487829993505112	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456	0.261505768122233	https://www.ncbi.nlm.nih.gov/gene/?term=23456
ABCB4	ABCB4	ATP binding cassette subfamily B member 4	5244	-0.0995655232109387	https://www.ncbi.nlm.nih.gov/gene/?term=5244
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	0.00949253310693294	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22	-0.134512375659661	https://www.ncbi.nlm.nih.gov/gene/?term=22
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	-0.150638584756799	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	0.37938136236305	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC1	ABCC1	ATP binding cassette subfamily C member 1	4363	0.0689992166646647	https://www.ncbi.nlm.nih.gov/gene/?term=4363
ABCC10	ABCC10	ATP binding cassette subfamily C member 10	89845	-0.112045696301438	https://www.ncbi.nlm.nih.gov/gene/?term=89845
ABCC13	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	-0.105589737281425	https://www.ncbi.nlm.nih.gov/gene/?term=150000
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	0.0509293132598893	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	0.0684406046908505	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC5-AS1	ABCC5-AS1	ABCC5 antisense RNA 1	100873982	0.247756826925328	https://www.ncbi.nlm.nih.gov/gene/?term=100873982
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	0.0709996435009495	https://www.ncbi.nlm.nih.gov/gene/?term=368
