"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_78101",358.612841821586,2.58187212824511,0.194611565926915,13.2667969447135,3.60670387123624e-40,2.6808629874899e-35,"chr8",143023929,143026974,"+","Intergenic",6966,"LY6E","LY6E","NM_001127213","LY6E",0.643138542350624,3045
"2","Interval_75355",99.574307749157,4.85004784146598,0.426182854796596,11.3802040295139,5.24768172372605e-30,1.95030091262279e-25,"chr8",39916208,39917947,"+","intron (IDO1, intron 1 of 9)",3268,"IDO1","IDO1","NM_002164","IDO1",0.391954022988506,1739
"3","Interval_71016",774.483353846032,1.81772657003058,0.161150423791318,11.279688425669,1.6533049698089e-29,4.09633861352986e-25,"chr7",41685735,41695043,"+","exon (INHBA, exon 3 of 3)",-3559,"INHBA-AS1","INHBA-AS1","rna32649","INHBA-AS1",0.41078526157482,9308
"4","Interval_2694",124.386692257609,2.78646561742061,0.269242532248624,10.349277263696,4.21656761346941e-25,7.83543676772954e-21,"chr1",78619506,78621314,"+","promoter-TSS (IFI44L)",-3,"IFI44L","IFI44L","NM_006820","IFI44L",0.366500829187396,1808
"5","Interval_54464",110.979803542074,-2.56694298830578,0.261689377117557,-9.80912185500234,1.02859759320934e-22,1.52911318206501e-18,"chr3",152423775,152427497,"+","intron (MBNL1, intron 2 of 7)",-84646,"TMEM14E","TMEM14E","NM_001123228","TMEM14E",0.39457426806339,3722
"6","Interval_38402",113.68397467256,2.86212546882369,0.294529869945927,9.71760680622699,2.53673386091697e-22,3.14259046469931e-18,"chr2",6896006,6899638,"+","exon (RSAD2, exon 6 of 6)",20157,"RSAD2","RSAD2","NM_080657","RSAD2",0.376273052573631,3632
"7","Interval_43723",99.1925573184755,3.69150835318243,0.387094044170621,9.53646383553065,1.47785674113283e-21,1.56927273669147e-17,"chr2",190956853,190960034,"+","intron (GLS, intron 17 of 17)",55754,"STAT1","STAT1","NM_139266","STAT1",0.389063482086738,3181
"8","Interval_71015",254.96365206673,1.95390013021444,0.206314354335693,9.47050018165607,2.78506854202526e-21,2.58767680910922e-17,"chr7",41680105,41683842,"+","Intergenic",-11975,"INHBA-AS1","INHBA-AS1","rna32649","INHBA-AS1",0.396736222578919,3737
"9","Interval_48482",154.939183092479,2.29872570555887,0.245587186957684,9.36012067256159,7.96456756641077e-21,6.57784785790347e-17,"chr21",41425704,41427289,"+","intron (MX1, intron 1 of 16)",-5506,"MX1","MX1","XM_006724005","MX1",0.628625472887768,1585
"10","Interval_19575",410.679682027741,1.63779706599876,0.181528544735574,9.02225635304066,1.84254451168421e-19,1.36956333553487e-15,"chr12",112977784,112979602,"+","exon (OAS2, exon 1 of 2)",224,"OAS2","OAS2","NM_016817","OAS2",0.532587548638132,1818
"11","Interval_38403",120.545281639416,2.79483284602279,0.310229164228986,9.00893006938532,2.08076512902596e-19,1.40602974582272e-15,"chr2",6905267,6910040,"+","Intergenic",11029,"RNF144A-AS1","RNF144A-AS1","rna9012","RNF144A-AS1",0.411185588604943,4773
"12","Interval_38399",501.718365944475,1.45197266852253,0.16407800056916,8.84928304517281,8.80833173789013e-19,5.45602748397811e-15,"chr2",6863821,6866624,"+","exon (CMPK2, exon 1 of 4)",1413,"CMPK2","CMPK2","rna9007","CMPK2",0.604493580599144,2803
"13","Interval_10625",282.566547780434,1.64701205796761,0.189501713230713,8.69127793036055,3.58385102575419e-18,2.04913574418699e-14,"chr10",89413973,89415806,"+","intron (IFIT5, intron 1 of 1)",321,"IFIT5","IFIT5","NM_012420","IFIT5",0.607260726072607,1833
"14","Interval_22551",144.202631295476,-2.61362269934148,0.307592868275667,-8.49701982361677,1.94520226300801e-17,9.72570567007534e-14,"chr14",21032411,21033483,"+","TTS (TPPP2)",1838,"RNASE13","RNASE13","NM_001012264","RNASE13",0.38126159554731,1072
"15","Interval_10615",223.274746264519,1.95215514580581,0.229773943100792,8.4959813957211,1.96267435828239e-17,9.72570567007534e-14,"chr10",89340343,89345249,"+","promoter-TSS (LOC101926887)",-137,"LOC101926887","LOC101926887","rna44856","LOC101926887",0.601681555438781,4906
"16","Interval_38400",222.478835533875,2.04446629122794,0.243042168885788,8.41198175855929,4.03140596748492e-17,1.87284003476971e-13,"chr2",6876190,6879213,"+","promoter-TSS (RSAD2)",36,"RSAD2","RSAD2","NM_080657","RSAD2",0.42526455026455,3023
"17","Interval_3443",439.519656930548,-1.24683200905205,0.152322304811448,-8.18548544545359,2.71208164974978e-16,1.18581781779942e-12,"chr1",109931136,109934990,"+","Intergenic",22452,"CSF1","CSF1","NM_172211","CSF1",0.508690012970169,3854
"18","Interval_70357",277.789707407327,1.96830581424881,0.25159515976617,7.82330556787394,5.14540030710621e-15,2.12476447126225e-11,"chr7",22729718,22733299,"+","exon (IL6, exon 5 of 5)",4345,"IL6","IL6","NM_000600","IL6",0.389168062534897,3581
"19","Interval_30803",59.9003670317173,2.97282054125352,0.390597802839128,7.61095049599628,2.72087441246748e-14,1.06443471094057e-10,"chr17",6775318,6776870,"+","promoter-TSS (FBXO39)",-108,"FBXO39","FBXO39","rna67332","FBXO39",0.363976377952756,1552
"20","Interval_71018",195.842910305938,1.40947327672773,0.192062103840729,7.33863291374004,2.15786551995126e-13,7.81963632320307e-10,"chr7",41698304,41700086,"+","intron (INHBA-AS1, intron 1 of 2)",3913,"INHBA","INHBA","NM_002192","INHBA",0.459338194054964,1782
"21","Interval_75354",246.389937410582,1.42210218248932,0.193972578181252,7.33145991986807,2.27658913251007e-13,7.81963632320307e-10,"chr8",39912350,39915376,"+","promoter-TSS (IDO1)",54,"IDO1","IDO1","NM_002164","IDO1",0.372976544433432,3026
"22","Interval_54467",51.5350361863112,-2.69143403301445,0.367218184469607,-7.32925042070513,2.31443561294857e-13,7.81963632320307e-10,"chr3",152450368,152452963,"+","intron (MBNL1, intron 7 of 8)",-110675,"TMEM14E","TMEM14E","NM_001123228","TMEM14E",0.391371340523883,2595
