userId	geneSymbol	geneName	entrezgene	gLink
ACACB	ACACB	acetyl-CoA carboxylase beta	32	https://www.ncbi.nlm.nih.gov/gene/?term=32
FBP1	FBP1	fructose-bisphosphatase 1	2203	https://www.ncbi.nlm.nih.gov/gene/?term=2203
SLC11A1	SLC11A1	solute carrier family 11 member 1	6556	https://www.ncbi.nlm.nih.gov/gene/?term=6556
CLIP4	CLIP4	CAP-Gly domain containing linker protein family member 4	79745	https://www.ncbi.nlm.nih.gov/gene/?term=79745
EIF4EBP1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	1978	https://www.ncbi.nlm.nih.gov/gene/?term=1978
LOC102724566	LOC102724566	uncharacterized LOC102724566	102724566	https://www.ncbi.nlm.nih.gov/gene/?term=102724566
GPRIN3	GPRIN3	GPRIN family member 3	285513	https://www.ncbi.nlm.nih.gov/gene/?term=285513
MNT	MNT	MAX network transcriptional repressor	4335	https://www.ncbi.nlm.nih.gov/gene/?term=4335
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	https://www.ncbi.nlm.nih.gov/gene/?term=54
FAXDC2	FAXDC2	fatty acid hydroxylase domain containing 2	10826	https://www.ncbi.nlm.nih.gov/gene/?term=10826
SIRPB2	SIRPB2	signal regulatory protein beta 2	284759	https://www.ncbi.nlm.nih.gov/gene/?term=284759
LOC101928389	LOC101928389	uncharacterized LOC101928389	101928389	https://www.ncbi.nlm.nih.gov/gene/?term=101928389
SELPLG	SELPLG	selectin P ligand	6404	https://www.ncbi.nlm.nih.gov/gene/?term=6404
PROX2	PROX2	prospero homeobox 2	283571	https://www.ncbi.nlm.nih.gov/gene/?term=283571
LOC102723733	LOC102723733	uncharacterized LOC102723733	102723733	https://www.ncbi.nlm.nih.gov/gene/?term=102723733
ERLIN2	ERLIN2	ER lipid raft associated 2	11160	https://www.ncbi.nlm.nih.gov/gene/?term=11160
DEPDC5	DEPDC5	DEP domain containing 5	9681	https://www.ncbi.nlm.nih.gov/gene/?term=9681
C1orf162	C1orf162	chromosome 1 open reading frame 162	128346	https://www.ncbi.nlm.nih.gov/gene/?term=128346
LOC101929846	LOC101929846	uncharacterized LOC101929846	101929846	https://www.ncbi.nlm.nih.gov/gene/?term=101929846
MIR5194	MIR5194	microRNA 5194	100847051	https://www.ncbi.nlm.nih.gov/gene/?term=100847051
ASAH1	ASAH1	N-acylsphingosine amidohydrolase 1	427	https://www.ncbi.nlm.nih.gov/gene/?term=427
IFITM10	IFITM10	interferon induced transmembrane protein 10	402778	https://www.ncbi.nlm.nih.gov/gene/?term=402778
SLC6A6	SLC6A6	solute carrier family 6 member 6	6533	https://www.ncbi.nlm.nih.gov/gene/?term=6533
PTPN22	PTPN22	protein tyrosine phosphatase, non-receptor type 22	26191	https://www.ncbi.nlm.nih.gov/gene/?term=26191
TNFSF13	TNFSF13	TNF superfamily member 13	8741	https://www.ncbi.nlm.nih.gov/gene/?term=8741
S100A9	S100A9	S100 calcium binding protein A9	6280	https://www.ncbi.nlm.nih.gov/gene/?term=6280
LAIR1	LAIR1	leukocyte associated immunoglobulin like receptor 1	3903	https://www.ncbi.nlm.nih.gov/gene/?term=3903
