geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04727	GABAergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04727+3763+27165+2793+6714+5579+5578+115+2782+2791+94235+2790+108	0.600668025761407	1.7828897913353752	0.001392757658227357	0.12880150425114453	30	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04727.png	12	3763;27165;2793;6714;5579;5578;115;2782;2791;94235;2790;108	ADCY2;ADCY9;GLS2;GNB1;GNG10;GNG11;GNG8;GNGT2;KCNJ6;PRKCA;PRKCB;SRC
hsa04742	Taste transduction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04742+342372+5136+1131+5330+80835	0.6906204885323491	1.717969423501627	0.01257861633242356	0.1485448005232178	13	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04742.png	5	342372;5136;1131;5330;80835	CHRM3;PDE1A;PKD1L3;PLCB2;TAS1R1
hsa04724	Glutamatergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04724+5338+5331+27165+2793+5337+2900+5579+5578+115+5330+7220+116444+2782+8681+2791+2893+94235+2790+108	0.5334613578596987	1.7404166519589568	0.004021447715788944	0.14979834314366688	45	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04724.png	19	5338;5331;27165;2793;5337;2900;5579;5578;115;5330;7220;116444;2782;8681;2791;2893;94235;2790;108	ADCY2;ADCY9;GLS2;GNB1;GNG10;GNG11;GNG8;GNGT2;GRIA4;GRIK4;GRIN3B;JMJD7-PLA2G4B;PLCB2;PLCB3;PLD1;PLD2;PRKCA;PRKCB;TRPC1
hsa04350	TGF-beta signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04350+7027+3625+4090+1387+353500+657+91+6667+7057+4086+652+130399+2033+3399+3624+57154+25805	0.4984283545258108	1.680349301775823	0.006693440419419759	0.18408273381294962	53	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04350.png	17	7027;3625;4090;1387;353500;657;91;6667;7057;4086;652;130399;2033;3399;3624;57154;25805	ACVR1B;ACVR1C;BAMBI;BMP4;BMP8A;BMPR1A;CREBBP;EP300;ID3;INHBA;INHBB;SMAD1;SMAD5;SMURF1;SP1;TFDP1;THBS1
hsa04726	Serotonergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04726+3763+6532+121278+5331+2793+5579+5578+5330+7220+2782+8681+2791+673+94235+2790+3845	0.4862108489311401	1.6066370038512454	0.006570302225268985	0.2538423806409418	49	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04726.png	16	3763;6532;121278;5331;2793;5579;5578;5330;7220;2782;8681;2791;673;94235;2790;3845	BRAF;GNB1;GNG10;GNG11;GNG8;GNGT2;JMJD7-PLA2G4B;KCNJ6;KRAS;PLCB2;PLCB3;PRKCA;PRKCB;SLC6A4;TPH2;TRPC1
hsa05032	Morphine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05032+3763+5136+27115+2793+5579+5578+115+2782+2869+2791+94235+2790+108	0.590288971053969	1.7830566334812896	0.005540166197312789	0.25760300850228907	31	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05032.png	13	3763;5136;27115;2793;5579;5578;115;2782;2869;2791;94235;2790;108	ADCY2;ADCY9;GNB1;GNG10;GNG11;GNG8;GNGT2;GRK5;KCNJ6;PDE1A;PDE7B;PRKCA;PRKCB
hsa04713	Circadian entrainment	http://www.kegg.jp/kegg-bin/show_pathway?hsa04713+3763+5331+2793+5579+5578+115+5330+2782+2791+2893+94235+2790+108+818+2776+54331+2903+1385	0.4978402679031331	1.6178419954215475	0.013458950183769918	0.2602891712603943	43	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04713.png	18	3763;5331;2793;5579;5578;115;5330;2782;2791;2893;94235;2790;108;818;2776;54331;2903;1385	ADCY2;ADCY9;CAMK2G;CREB1;GNAQ;GNB1;GNG10;GNG11;GNG2;GNG8;GNGT2;GRIA4;GRIN2A;KCNJ6;PLCB2;PLCB3;PRKCA;PRKCB
hsa04928	Parathyroid hormone synthesis, secretion and action	http://www.kegg.jp/kegg-bin/show_pathway?hsa04928+5744+5338+5331+5337+6667+5579+9826+5578+115+4040+4209+5330+90993+10672+4041+4324+596+9138	0.46477506408979735	1.6194083483280985	0.007633587776547599	0.29865652932199693	65	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04928.png	18	5744;5338;5331;5337;6667;5579;9826;5578;115;4040;4209;5330;90993;10672;4041;4324;596;9138	ADCY9;ARHGEF1;ARHGEF11;BCL2;CREB3L1;GNA13;LRP5;LRP6;MEF2D;MMP15;PLCB2;PLCB3;PLD1;PLD2;PRKCA;PRKCB;PTHLH;SP1
hsa05140	Leishmaniasis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05140+5603+3586+3717+3119+718+2002+3684+5600+4792+3725+3123+3127+3117+2215	-0.4065720614780063	-1.5440397122813028	0.014925373078636667	0.36609653233364575	47	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05140.png	14	5603;3586;3717;3119;718;2002;3684;5600;4792;3725;3123;3127;3117;2215	C3;ELK1;FCGR3B;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL10;ITGAM;JAK2;JUN;MAPK11;MAPK13;NFKBIA
hsa05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+3586+3119+718+3684+1675+6404+629+3123+3127+3117+2215	-0.43568338097913706	-1.443613004802594	0.052795030891940896	0.3748828491096532	27	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05150.png	11	3586;3119;718;3684;1675;6404;629;3123;3127;3117;2215	C3;CFB;CFD;FCGR3B;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL10;ITGAM;SELPLG
hsa05414	Dilated cardiomyopathy (DCM)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05414+153+488+3690+115+1605+3680+22801+108+3688+3695+3675	0.5442632203816589	1.5504065481554077	0.028735632142621217	0.3850465082479471	24	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05414.png	11	153;488;3690;115;1605;3680;22801;108;3688;3695;3675	ADCY2;ADCY9;ADRB1;ATP2A2;DAG1;ITGA11;ITGA3;ITGA9;ITGB1;ITGB3;ITGB7
hsa04725	Cholinergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04725+3763+1139+5331+2793+5579+5578+1141+1131+115+5330+90993+2782+2791+596+5295+94235+2790+3845+108	0.4507098369009438	1.538632548992246	0.02207792204924945	0.38743868541530413	59	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04725.png	19	3763;1139;5331;2793;5579;5578;1141;1131;115;5330;90993;2782;2791;596;5295;94235;2790;3845;108	ADCY2;ADCY9;BCL2;CHRM3;CHRNA7;CHRNB2;CREB3L1;GNB1;GNG10;GNG11;GNG8;GNGT2;KCNJ6;KRAS;PIK3R1;PLCB2;PLCB3;PRKCA;PRKCB
hsa05310	Asthma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05310+3586+3119+3123+6037+3127+3117	-0.5568950193990008	-1.4480198447801929	0.07713498601340224	0.4025304592314902	12	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05310.png	6	3586;3119;3123;6037;3127;3117	HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL10;RNASE3
hsa04974	Protein digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04974+5547+85301+1294+7512+1803+1277+1306+9056+256076+1291+2006+482	-0.4648299343269422	-1.5553950255908244	0.03886925781318284	0.41002811621368324	29	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04974.png	12	5547;85301;1294;7512;1803;1277;1306;9056;256076;1291;2006;482	ATP1B2;COL15A1;COL1A1;COL27A1;COL6A1;COL6A5;COL7A1;DPP4;ELN;PRCP;SLC7A7;XPNPEP2
hsa05323	Rheumatoid arthritis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05323+1513+7099+529+245973+8600+3119+6352+535+3600+8992+3606+1435+6364+3725+6372+3123+3127+3117	-0.37775760353428345	-1.4774075921841527	0.034220532189275545	0.4226218369259606	52	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05323.png	18	1513;7099;529;245973;8600;3119;6352;535;3600;8992;3606;1435;6364;3725;6372;3123;3127;3117	ATP6V0A1;ATP6V0E1;ATP6V1C2;ATP6V1E1;CCL20;CCL5;CSF1;CTSK;CXCL6;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL15;IL18;JUN;TLR4;TNFSF11
hsa00830	Retinol metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00830+51109+128+9227+10901+316+29785+10170	-0.5287994783522593	-1.5860761356947148	0.04451038562459826	0.4252577319587628	17	./Project_IK_4_vs_C_4_gsea_GSEA/hsa00830.png	7	51109;128;9227;10901;316;29785;10170	ADH5;AOX1;CYP2S1;DHRS4;DHRS9;LRAT;RDH11
hsa04940	Type I diabetes mellitus	http://www.kegg.jp/kegg-bin/show_pathway?hsa04940+1363+3119+3106+3123+3127+3117+3002	-0.47850821097329244	-1.450024916788425	0.06628242055826392	0.44126835363948763	20	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04940.png	7	1363;3119;3106;3123;3127;3117;3002	CPE;GZMB;HLA-B;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB5
