"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_47911",392.916041547606,-5.04811058219313,0.26519330834154,-19.0355880914299,8.65158856250263e-81,7.27728371934909e-76,"chr21",25582827,25588200,"+","TTS (MRPL39)",-2289,"LINC00515","LINC00515","rna81080","LINC00515",0.371790100483811,5373
"2","Interval_13750",1397.27664048878,2.46506031279986,0.16063822897685,15.3454151511787,3.80119810166654e-53,1.5986888916084e-48,"chr11",61961883,61964806,"+","TTS (FTH1)",4316,"FTH1","FTH1","NM_002032","FTH1",0.473802395209581,2923
"3","Interval_3443",439.519656930548,-2.4425159960214,0.159789572173926,-15.2858284980124,9.50464903279264e-53,2.66494517797784e-48,"chr1",109931136,109934990,"+","Intergenic",22452,"CSF1","CSF1","NM_172211","CSF1",0.508690012970169,3854
"4","Interval_81019",345.732287207844,-2.50491643626624,0.179180842713998,-13.9798228333176,2.07002674984628e-44,4.35300750158299e-40,"chr9",120918949,120921635,"+","intron (TRAF1, intron 3 of 7)",6603,"TRAF1","TRAF1","NM_001190945","TRAF1",0.521027167845181,2686
"5","Interval_41811",654.670294673727,-2.93734823715372,0.213297333199308,-13.7711437508177,3.80146650626374e-43,6.3952071034875e-39,"chr2",113131283,113137302,"+","TTS (IL1RN)",14226,"IL1RN","IL1RN","NM_173841","IL1RN",0.481395348837209,6019
"6","Interval_3441",226.223716511777,-3.85541126644859,0.281225222390074,-13.7093367148304,8.92701664871622e-43,1.25149334234461e-38,"chr1",109920319,109924028,"+","intron (CSF1, intron 5 of 8)",11562,"CSF1","CSF1","NM_172211","CSF1",0.55633423180593,3709
"7","Interval_81015",490.46256348314,-2.82720954143737,0.208584949126571,-13.5542355921462,7.47871682667582e-42,8.98674665536909e-38,"chr9",120892620,120897857,"+","promoter-TSS (PHF19)",-26327,"PHF19","PHF19","NM_001286840","PHF19",0.502481863306606,5237
"8","Interval_3442",210.706537512208,-3.22479011733792,0.247722292752895,-13.0177630826091,9.69701611057267e-39,1.01958063767603e-34,"chr1",109926974,109929688,"+","intron (CSF1, intron 8 of 8)",17720,"CSF1","CSF1","NM_172211","CSF1",0.586372007366483,2714
"9","Interval_54464",110.979803542074,-3.30141715096906,0.264160967024343,-12.4977478245861,7.67962154597579e-36,7.17745962599727e-32,"chr3",152423775,152427497,"+","intron (MBNL1, intron 2 of 7)",-84646,"TMEM14E","TMEM14E","NM_001123228","TMEM14E",0.39457426806339,3722
"10","Interval_3434",307.161228188849,-2.62816687124374,0.220483505852762,-11.9200157902008,9.30908954976199e-33,7.8303406747823e-29,"chr1",109890007,109890981,"+","Intergenic",-20117,"CSF1","CSF1","NM_172211","CSF1",0.491282051282051,974
