"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_22974",869.755229650806,3.45990093045849,0.149118897252852,23.2022969200996,4.31649296612139e-119,3.630818058453e-114,"chr14",35397462,35400890,"+","Intergenic",5578,"NFKBIA","NFKBIA","NM_020529","NFKBIA",0.568648944916415,3428
"2","Interval_47911",392.916041547606,4.29215378177522,0.226430720147646,18.9557043274715,3.96213873327827e-80,1.66637649774851e-75,"chr21",25582827,25588200,"+","TTS (MRPL39)",-2289,"LINC00515","LINC00515","rna81080","LINC00515",0.371790100483811,5373
"3","Interval_69388",785.989943056672,3.05052514087998,0.167330716053448,18.2305150711576,2.95524704562196e-74,8.2860201747497e-70,"chr6",159675700,159680328,"+","Intergenic",15307,"SOD2","SOD2","NM_000636","SOD2",0.403110823071938,4628
"4","Interval_81019",345.732287207844,3.42772212943604,0.194295276721841,17.6418191284355,1.17612978316274e-69,2.47325391776834e-65,"chr9",120918949,120921635,"+","intron (TRAF1, intron 3 of 7)",6603,"TRAF1","TRAF1","NM_001190945","TRAF1",0.521027167845181,2686
"5","Interval_81015",490.46256348314,3.63937902273255,0.216783529906826,16.7880789850445,2.98346468046108e-63,5.01908263193968e-59,"chr9",120892620,120897857,"+","promoter-TSS (PHF19)",-26327,"PHF19","PHF19","NM_001286840","PHF19",0.502481863306606,5237
"6","Interval_41781",1512.33770401303,3.38649757946718,0.209619240500082,16.1554710883797,1.03921626062072e-58,1.4568945960352e-54,"chr2",112827681,112837112,"+","intron (IL1B, intron 4 of 5)",3848,"IL1B","IL1B","NM_000576","IL1B",0.446352841391009,9431
"7","Interval_81020",546.405274493487,2.09573447191053,0.146284284211574,14.3264499204811,1.49573478554643e-46,1.79733902123197e-42,"chr9",120925621,120927338,"+","intron (TRAF1, intron 1 of 7)",416,"TRAF1","TRAF1","NM_001190945","TRAF1",0.548311990686845,1717
"8","Interval_75361",561.408798953461,2.50665201141696,0.179064288906424,13.9986148367467,1.58938341429829e-44,1.67113732367125e-40,"chr8",39951370,39952621,"+","intron (IDO2, intron 2 of 10)",17040,"IDO2","IDO2","NM_194294","IDO2",0.416932907348243,1251
"9","Interval_63688",492.98813412569,2.24755525409552,0.161036224626851,13.9568302678698,2.85867658935955e-44,2.67175090348865e-40,"chr5",151056418,151057473,"+","exon (TNIP1, exon 6 of 18)",24052,"TNIP1","TNIP1","NM_001252390","TNIP1",0.582386363636364,1055
"10","Interval_37106",308.403675111689,3.25879191957213,0.234267344200937,13.9105684178371,5.46434514252567e-44,4.59633391663547e-40,"chr19",34988831,34991168,"+","Intergenic",-15900,"GRAMD1A","GRAMD1A","XM_006723299","GRAMD1A",0.460743801652893,2337
"11","Interval_69196",233.663917426391,3.52195552574696,0.25331029067706,13.9037206752766,6.01324332612191e-44,4.59821783978858e-40,"chr6",155170838,155171980,"+","intron (TIAM2, intron 8 of 25)",61837,"LOC101928899","LOC101928899","rna31351","LOC101928899",0.389326334208224,1142
"12","Interval_63694",564.661462492805,2.22442056071314,0.161331618516192,13.7878773000092,3.01501524209749e-43,1.99130023447711e-39,"chr5",151085412,151087277,"+","intron (TNIP1, intron 1 of 17)",-5347,"TNIP1","TNIP1","NM_001252390","TNIP1",0.55091103965702,1865
"13","Interval_31063",239.477307284536,3.61760002224453,0.262403610311746,13.786395766227,3.07756084505765e-43,1.99130023447711e-39,"chr17",14373442,14374720,"+","Intergenic",70341,"MGC12916","MGC12916","rna67810","MGC12916",0.361111111111111,1278
"14","Interval_63692",173.648816066882,3.53315557141074,0.257495838852511,13.721214242357,7.57854826713241e-43,4.55335419635602e-39,"chr5",151074891,151076393,"+","intron (TNIP1, intron 1 of 17)",5355,"TNIP1","TNIP1","NM_001252390","TNIP1",0.503659347970725,1502
