"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_62022",1569.07718811101,0.285559726165675,0.0624190871114346,4.57487828452017,4.76496922506679e-06,0.400805386366493,"chr5",91380010,91384124,"+","intron (ARRDC3-AS1, intron 1 of 2)",1265,"ARRDC3","ARRDC3","NM_020801","ARRDC3",0.479222357229648,4114
"2","Interval_57464",584.433247531578,-0.318034156114439,0.0884799845560389,-3.59441920916037,0.00032511600764618,0.999980968448772,"chr4",73740391,73745916,"+","exon (IL8, exon 4 of 4)",2647,"IL8","IL8","NM_000584","IL8",0.339305103148751,5525
"3","Interval_58644",685.934315013486,-0.270124000973121,0.0801104710097432,-3.37189380574567,0.000746532271051329,0.999980968448772,"chr4",121687659,121691623,"+","intron (ANXA5, intron 2 of 12)",7351,"ANXA5","ANXA5","NM_001154","ANXA5",0.42875157629256,3964
"4","Interval_62912",65.4843240207947,-0.665580502259528,0.221430759894765,-3.00581772187317,0.00264867722041724,0.999980968448772,"chr5",132998317,132999533,"+","intron (ZCCHC10, intron 2 of 2)",27658,"ZCCHC10","ZCCHC10","XM_005272027","ZCCHC10",0.405916187345933,1216
"5","Interval_31359",2216.73068202902,-0.330222370533158,0.110709498378576,-2.98278264620031,0.00285640766896005,0.999980968448772,"chr17",21283979,21288743,"+","intron (MAP2K3, intron 1 of 11)",-9314,"MAP2K3","MAP2K3","XM_005256721","MAP2K3",0.352708058124174,4764
"6","Interval_49473",67.2361217259223,-0.654006013758564,0.220054298351805,-2.9720210814196,0.00295846369305446,0.999980968448772,"chr22",35678948,35679888,"+","Intergenic",31041,"APOL6","APOL6","NM_030641","APOL6",0.40807651434644,940
"7","Interval_39446",1082.4160388626,-0.21037835807388,0.0711978840107601,-2.95484003488202,0.00312831206870108,0.999980968448772,"chr2",38074552,38077650,"+","promoter-TSS (CYP1B1)",80,"CYP1B1","CYP1B1","NM_000104","CYP1B1",0.655372700871249,3098
"8","Interval_58107",53.9575810814563,-0.698260714911533,0.239918508438262,-2.91040786914202,0.00360957368032479,0.999980968448772,"chr4",95198600,95199552,"+","intron (UNC5C, intron 13 of 16)",159316,"LOC101929250","LOC101929250","rna22019","LOC101929250",0.449108079748164,952
"9","Interval_45899",40.0162327705173,0.773339026917262,0.278807352538585,2.77373971624453,0.00554159961255611,0.999980968448772,"chr20",12073851,12075025,"+","Intergenic",183605,"BTBD3","BTBD3","NM_001282552","BTBD3",0.397446808510638,1174
"10","Interval_33588",46.1923711140646,0.742669152540786,0.270754651906348,2.74295989860839,0.00608881207584307,0.999980968448772,"chr17",78971009,78972547,"+","exon (LGALS3BP, exon 6 of 6)",8201,"LGALS3BP","LGALS3BP","NM_005567","LGALS3BP",0.361111111111111,1538
"11","Interval_5511",603.200755059963,-0.251345669929969,0.0929546320270568,-2.70396067897733,0.00685183967318299,0.999980968448772,"chr1",179081182,179083296,"+","exon (TOR3A, exon 1 of 6)",121,"TOR3A","TOR3A","XM_006711485","TOR3A",0.609929078014184,2114
"12","Interval_8844",342.421447497648,-0.278847133804053,0.103422484972594,-2.69619448689465,0.00701367029151258,0.999980968448772,"chr10",29587576,29590935,"+","intron (SVIL, intron 3 of 41)",13077,"MIR938","MIR938","rna43306","MIR938",0.617067833698031,3359
"13","Interval_5033",108.361106285677,-0.486355701104471,0.180612055043494,-2.69281970678729,0.00708505708010759,0.999980968448772,"chr1",161705345,161707412,"+","promoter-TSS (FCRLA)",-829,"FCRLA","FCRLA","NM_001184866","FCRLA",0.474854932301741,2067
"14","Interval_65203",38.7302870877374,0.765339694270912,0.28765786967741,2.66059014873882,0.00780038428117828,0.999980968448772,"chr6",12605900,12606780,"+","Intergenic",-20936,"LOC101928309","LOC101928309","rna27546","LOC101928309",0.404086265607264,880
"15","Interval_16460",29.2535086751032,-0.988780740697448,0.373142710534411,-2.64987285770993,0.00805220669572298,0.999980968448772,"chr12",7757947,7759173,"+","Intergenic",-6656,"NANOGNB","NANOGNB","NM_001145465","NANOGNB",0.437138728323699,1226
"16","Interval_35993",40.6700493132851,-0.754410168197236,0.285432538777154,-2.64304193008011,0.00821648594370294,0.999980968448772,"chr19",4379983,4380958,"+","intron (SH3GL1, intron 1 of 9)",20098,"SH3GL1","SH3GL1","NM_001199943","SH3GL1",0.460743801652893,975
"17","Interval_6654",20.0106809537251,-1.06363234260822,0.407673027430178,-2.6090329039254,0.00907985111570191,0.999980968448772,"chr1",212315365,212316270,"+","intron (PPP2R5A, intron 1 of 12)",30280,"PPP2R5A","PPP2R5A","NM_001199756","PPP2R5A",0.357615894039735,905
"18","Interval_7585",32.3532944894718,0.832337355731328,0.320287532919624,2.59871918255464,0.00935722864537592,0.999980968448772,"chr1",239547747,239550109,"+","intron (CHRM3, intron 2 of 4)",162352,"CHRM3","CHRM3","NM_000740","CHRM3",0.402454506982649,2362
"19","Interval_33703",84.8999997339342,-0.522739153555655,0.20137948213642,-2.59579152756753,0.00943733058313338,0.999980968448772,"chr17",81422680,81423799,"+","intron (BAHCC1, intron 1 of 26)",-22465,"MIR4740","MIR4740","rna71612","MIR4740",0.361490683229814,1119
"20","Interval_75583",57.3356811903955,-0.628377030688508,0.242425586195368,-2.5920408837626,0.00954084326647135,0.999980968448772,"chr8",52694155,52696078,"+","intron (RB1CC1, intron 1 of 22)",-33523,"RB1CC1","RB1CC1","NM_014781","RB1CC1",0.428274428274428,1923
"21","Interval_71242",33.092803712274,-0.856500547014788,0.332785567314963,-2.57373104827037,0.0100608446966752,0.999980968448772,"chr7",47651382,47652026,"+","Intergenic",-3540,"C7orf65","C7orf65","NM_001123065","C7orf65",0.452713178294574,644
"22","Interval_30957",55.0326111731596,-0.635149897548309,0.249703749675347,-2.54361377582075,0.0109712320103468,0.999980968448772,"chr17",9349756,9350726,"+","intron (STX8, intron 5 of 5)",-171123,"RP11-85B7.2","RP11-85B7","rna67702","RP11-85B7.2",0.361111111111111,970
"23","Interval_4174",282.40287753341,0.317597088463098,0.12503087942232,2.54014920098532,0.0110805188333246,0.999980968448772,"chr1",143184634,143185445,"+","Intergenic",119297,"LOC101929814","LOC101929814","rna4594","LOC101929814",0.373152709359606,811
"24","Interval_11950",402.369311312009,0.273393453603286,0.107767622444903,2.53687932795457,0.0111845499623448,0.999980968448772,"chr10",129466394,129467849,"+","promoter-TSS (MGMT)",-179695,"MGMT","MGMT","NM_002412","MGMT",0.442131979695431,1455
"25","Interval_50399",157.288700121899,-0.376877697652818,0.148794043793305,-2.53288161303252,0.0113129153730367,0.999980968448772,"chr3",10191849,10193278,"+","intron (IRAK2, intron 2 of 11)",27686,"IRAK2","IRAK2","NM_001570","IRAK2",0.495104895104895,1429
"26","Interval_15432",293.101122430789,-0.279459754919673,0.1108313827037,-2.52148577507861,0.0116860400277079,0.999980968448772,"chr11",115924502,115926795,"+","Intergenic",5350,"LOC102724165","LOC102724165","rna50647","LOC102724165",0.44578313253012,2293
"27","Interval_1740",390.043474169114,-0.245107098931107,0.0973736581914904,-2.51718076000689,0.0118298120171158,0.999980968448772,"chr1",43974409,43975862,"+","intron (ATP6V0B, intron 1 of 6)",689,"ATP6V0B","ATP6V0B","NM_004047","ATP6V0B",0.658872077028886,1453
"28","Interval_54567",75.5721152361584,-0.522939854281885,0.20854192906667,-2.50760054163833,0.0121553995147394,0.999980968448772,"chr3",156136006,156137807,"+","intron (KCNAB1, intron 1 of 12)",90977,"KCNAB1-AS2","KCNAB1-AS2","rna19059","KCNAB1-AS2",0.428967813540511,1801
"29","Interval_67155",22.6842769595949,-0.923699976602725,0.372783142432641,-2.47784803404738,0.0132177428486178,0.999980968448772,"chr6",75578635,75580443,"+","Intergenic",-22341,"SENP6","SENP6","NM_015571","SENP6",0.383637368711996,1808
"30","Interval_79696",38.9519509598446,-0.727893603524924,0.294012936189186,-2.4757196501604,0.0132967942861381,0.999980968448772,"chr9",81078733,81079597,"+","Intergenic",609284,"TLE1","TLE1","XM_006717259","TLE1",0.396531791907514,864
"31","Interval_2778",196.911232989086,0.328580220049284,0.132794587541898,2.47434949067946,0.0133479049625646,0.999980968448772,"chr1",84846639,84848184,"+","intron (LPAR3, intron 1 of 1)",18748,"LPAR3","LPAR3","NM_012152","LPAR3",0.455368693402329,1545
"32","Interval_22342",85.271876884565,0.503767032037914,0.203605461830456,2.47423142537013,0.0133523172354725,0.999980968448772,"chr13",110937289,110939465,"+","Intergenic",-23270,"ANKRD10","ANKRD10","rna57298","ANKRD10",0.404761904761905,2176
"33","Interval_69775",1043.54548933872,0.164646533769852,0.0667879829333366,2.46521195188947,0.0136932224795119,0.999980968448772,"chr7",2018603,2020393,"+","intron (MAD1L1, intron 11 of 17)",-175254,"MIR4655","MIR4655","rna31815","MIR4655",0.618090452261307,1790
"34","Interval_2854",70.2195699204883,-0.528152162518806,0.214371319341589,-2.46372585726929,0.013750123457059,0.999980968448772,"chr1",87202306,87205043,"+","Intergenic",-9016,"LOC101927844","LOC101927844","rna3634","LOC101927844",0.41709276844412,2737
"35","Interval_19899",116.266664722614,-0.414010613967392,0.16819447134156,-2.46149954077053,0.0138357574865597,0.999980968448772,"chr12",121783930,121785223,"+","intron (RHOF, intron 2 of 4)",9112,"RHOF","RHOF","NM_019034","RHOF",0.437138728323699,1293
"36","Interval_61166",80.561168037336,0.505531135636509,0.205813587657936,2.45625734136031,0.0140392581480207,0.999980968448772,"chr5",59596745,59599138,"+","intron (PDE4D, intron 3 of 16)",105747,"MIR582","MIR582","rna24377","MIR582",0.362573099415205,2393
